Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1661.868441
FDW14,OUT017,1301.110916
NCN55,OUT010,647.9802315
FDQ58,OUT017,2719.931189
FDY38,OUT027,6308.125558
FDH56,OUT046,2065.136768
FDL48,OUT018,732.1999241
FDC48,OUT027,2073.658408
FDN33,OUT045,1485.296366
FDA36,OUT017,3325.073033
FDT44,OUT017,1859.986575
FDQ56,OUT045,1254.272298
NCC54,OUT019,542.1123166
FDU11,OUT049,2092.920945
DRL59,OUT013,862.249224
FDM24,OUT049,2630.368357
FDI57,OUT045,3074.993466
DRC12,OUT018,2890.046433
NCM42,OUT027,2900.753985
FDA46,OUT010,447.1393201
FDA31,OUT013,2994.209036
NCJ31,OUT035,4007.658833
FDG52,OUT046,803.9956708
NCL19,OUT019,360.9766715
FDS10,OUT035,3152.476113
FDX22,OUT010,657.6389508
NCF19,OUT035,764.9936989
NCE06,OUT046,2449.616308
DRC27,OUT046,3747.535552
FDE21,OUT035,1875.969466
NCR42,OUT019,124.7503089
FDX51,OUT018,2797.568518
NCR06,OUT018,579.6280918
FDU31,OUT027,5889.379892
FDU59,OUT017,2882.972002
FDR03,OUT027,5662.585588
FDS49,OUT027,2116.726767
FDD48,OUT010,252.689464
NCF18,OUT017,3157.941282
NCD43,OUT027,2706.825331
NCD54,OUT018,2049.195201
FDY19,OUT010,240.2839314
NCY54,OUT017,2661.15326
NCL19,OUT018,2176.552542
FDP23,OUT010,597.1834661
FDC26,OUT013,1674.531158
FDR14,OUT010,119.889406
NCS41,OUT035,3136.944858
FDF41,OUT035,3878.908004
FDU34,OUT046,1871.069195
DRH11,OUT046,990.6437674
FDM03,OUT013,1737.369139
FDS31,OUT017,3230.445219
FDJ20,OUT017,1908.412227
FDV44,OUT027,5207.315601
FDG02,OUT049,3266.187588
FDA09,OUT013,2909.556098
FDT04,OUT013,715.0460004
FDL58,OUT019,779.0692444
FDE52,OUT045,1247.919497
FDW12,OUT035,2623.601439
FDL51,OUT017,3673.412817
NCY42,OUT027,3852.175845
FDR07,OUT017,1530.465006
FDN40,OUT045,2305.433749
FDB35,OUT027,2120.183175
