Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
FDA15,9.3,1,0.016047301,1,249.8092,OUT049,1999,1.0,1,1,3735.138
DRC01,5.92,2,0.019278216,2,48.2692,OUT018,2009,1.0,3,3,443.4228
FDN15,17.5,1,0.016760075,3,141.618,OUT049,1999,1.0,1,1,2097.27
FDX07,19.2,2,0.0,4,182.095,OUT010,1998,2.0,3,2,732.38
NCD19,8.93,1,0.0,5,53.8614,OUT013,1987,3.0,3,1,994.7052
FDP36,10.395,2,0.0,6,51.4008,OUT018,2009,1.0,3,3,556.6088
FDO10,13.65,2,0.012741089,7,57.6588,OUT013,1987,3.0,3,1,343.5528
FDP10,12.6,1,0.127469857,7,107.7622,OUT027,1985,1.0,3,4,4022.7636
FDH17,16.2,2,0.016687114,8,96.9726,OUT045,2002,2.0,2,1,1076.5986
FDU28,19.2,2,0.09444959,8,187.8214,OUT017,2007,2.0,2,1,4710.535
FDY07,11.8,1,0.0,4,45.5402,OUT049,1999,1.0,1,1,1516.0266
FDA03,18.5,2,0.045463773,1,144.1102,OUT046,1997,2.0,1,1,2187.153
FDX32,15.1,2,0.1000135,4,145.4786,OUT049,1999,1.0,1,1,1589.2646
FDS46,17.6,2,0.047257328,7,119.6782,OUT046,1997,2.0,1,1,2145.2076
FDF32,16.35,1,0.0680243,4,196.4426,OUT013,1987,3.0,3,1,1977.426
FDP49,9.0,2,0.069088961,9,56.3614,OUT046,1997,2.0,1,1,1547.3192
NCB42,11.8,1,0.008596051,10,115.3492,OUT018,2009,1.0,3,3,1621.8888
FDP49,9.0,2,0.069196376,9,54.3614,OUT049,1999,1.0,1,1,718.3982
DRI11,12.6,1,0.034237682,11,113.2834,OUT027,1985,1.0,3,4,2303.668
FDU02,13.35,1,0.10249212,1,230.5352,OUT035,2004,2.0,2,1,2748.4224
FDN22,18.85,2,0.138190277,7,250.8724,OUT013,1987,3.0,3,1,3775.086
FDW12,12.6,2,0.035399923,6,144.5444,OUT027,1985,1.0,3,4,4064.0432
NCB30,14.6,1,0.025698134,5,196.5084,OUT035,2004,2.0,2,1,1587.2672
FDC37,12.6,1,0.057556998,6,107.6938,OUT019,1985,2.0,1,2,214.3876
FDR28,13.85,2,0.025896485,8,165.021,OUT046,1997,2.0,1,1,4078.025
NCD06,13.0,1,0.099887103,5,45.906,OUT017,2007,2.0,2,1,838.908
FDV10,7.645,2,0.066693437,7,42.3112,OUT035,2004,2.0,2,1,1065.28
DRJ59,11.65,1,0.019356132,11,39.1164,OUT013,1987,3.0,3,1,308.9312
FDE51,5.925,2,0.161466534,1,45.5086,OUT010,1998,2.0,3,2,178.4344
FDC14,12.6,2,0.072221801,12,43.6454,OUT019,1985,2.0,1,2,125.8362
FDV38,19.25,1,0.170348551,1,55.7956,OUT010,1998,2.0,3,2,163.7868
NCS17,18.6,1,0.080829372,10,96.4436,OUT018,2009,1.0,3,3,2741.7644
FDP33,18.7,1,0.0,7,256.6672,OUT018,2009,1.0,3,3,3068.0064
FDO23,17.85,1,0.0,13,93.1436,OUT045,2002,2.0,2,1,2174.5028
DRH01,17.5,1,0.097904029,2,174.8738,OUT046,1997,2.0,1,1,2085.2856
NCX29,10.0,1,0.089291137,10,146.7102,OUT049,1999,1.0,1,1,3791.0652
FDV20,12.6,2,0.059511812,4,128.0678,OUT027,1985,1.0,3,4,2797.6916
DRZ11,8.85,2,0.113123893,2,122.5388,OUT018,2009,1.0,3,3,1609.9044
FDX10,12.6,2,0.123111453,7,36.9874,OUT027,1985,1.0,3,4,388.1614
FDB34,12.6,1,0.026480954,7,87.6198,OUT027,1985,1.0,3,4,2180.495
FDU02,13.35,1,0.102511504,1,230.6352,OUT046,1997,2.0,1,1,3435.528
FDK43,9.8,1,0.02681843,3,126.002,OUT013,1987,3.0,3,1,2150.534
FDA46,13.6,1,0.117818348,7,192.9136,OUT049,1999,1.0,1,1,2527.3768
FDC02,21.35,1,0.069102831,12,259.9278,OUT018,2009,1.0,3,3,6768.5228
FDL50,12.15,2,0.042277867,12,126.5046,OUT013,1987,3.0,3,1,373.5138
FDM39,6.42,1,0.089498926,1,178.1002,OUT010,1998,2.0,3,2,358.2004
NCP05,19.6,1,0.0,10,153.3024,OUT045,2002,2.0,2,1,2428.8384
FDV49,10.0,1,0.025879577,12,265.2226,OUT045,2002,2.0,2,1,5815.0972
FDL12,15.85,2,0.121632721,6,60.622,OUT046,1997,2.0,1,1,2576.646
FDS02,12.6,2,0.255394896,1,196.8794,OUT019,1985,2.0,1,2,780.3176
NCL17,7.39,1,0.067779712,10,143.8812,OUT046,1997,2.0,1,1,3134.5864
FDM40,10.195,1,0.159803853,8,141.5154,OUT013,1987,3.0,3,1,850.8924
FDR13,9.895,2,0.028696932,12,117.0492,OUT013,1987,3.0,3,1,810.9444
